year,month,flagWkday1Sat0,flagAmPmMd,count,loc,boroughBridgeName,flagBroroughBridge,onStreet,from,to,END
2012,05,1,p,2920,28,Brooklyn,bo,Montague Street,Henry Street,Clinton Street,1
2012,05,1,p,1363,29,Brooklyn,bo,Myrtle Avenue,Vanderbilt Avenue,Clinton Avenue,1
2012,05,1,p,990,30,Brooklyn,bo,Old Fulton Street,Elizabeth Place,Everit Place,1
2012,05,1,p,2010,31,Brooklyn,bo,Pitkin Avenue,Bristol Street,Hopkinson Avenue,1
2012,05,1,p,2229,32,Brooklyn,bo,Sheepshead Bay Road,East 14th Street ,East 15th Street,1
2012,05,1,p,516,33,Brooklyn,bo,VanBrunt Street,Beard Street,VanDike Street,1
2012,05,1,p,1557,34,Brooklyn,bo,Washington Street ,Front Street,Water Street,1
2012,05,1,p,4437,35,Manhattan,bo,Broad Street,Beaver Street,South William Street,1
2012,05,1,p,9308,36,Manhattan,bo,Broadway,Morris Street,Exchange Place,1
2012,05,1,p,4690,37,Manhattan,bo,Broadway,West 63rd Street,West 64th Street,1
2012,05,1,p,4266,38,Manhattan,bo,Chambers Street ,West Broadway,Greenwich Street,1
2012,05,1,p,2283,39,Manhattan,bo,Columbus Avenue,West 75th Street,West 76th Street,1
2012,05,1,p,2495,40,Manhattan,bo,Delancey Street,Orchard Street,Ludlow Street,1
2012,05,1,p,8641,41,Manhattan,bo,East 14th Street,Fifth Avenue,University Place,1
2012,05,1,p,12937,42,Manhattan,bo,East 42nd Street,Park Avenue,Lexington Avenue,1
2012,05,1,p,2830,43,Manhattan,bo,East 8th Street,University Place,Greene Street,1
2012,05,1,p,13250,44,Manhattan,bo,Eighth Avenue,West 44th Street,West 45th Street,1
2012,05,1,p,14533,45,Manhattan,bo,Fifth Avenue,East 54th Street,East 55th Street,1
2012,05,1,p,3570,46,Manhattan,bo,Forsyth Street,Canal Street,Division Street,1
2012,05,1,p,6091,47,Manhattan,bo,Fulton Street,Broadway,Nassau Street,1
2012,05,1,p,4285,48,Manhattan,bo,Fulton Street,Cliff Street,Pearl Street,1
2012,05,1,p,8412,49,Manhattan,bo,Lexington Avenue,East 57th Street,East 58th Street,1
2012,05,1,p,2238,50,Manhattan,bo,Madison Avenue,East 71st Street,East 72nd Street,1
2012,05,1,p,18101,51,Manhattan,bo,Seventh Avenue,West 32nd Street,West 33rd Street,1
2012,05,1,p,3602,52,Manhattan,bo,Trinity Place,Rector Street,Thames Street,1
2012,05,1,p,7844,53,Manhattan,bo,Wall Street,New Street,Nassau Street,1
2012,05,1,p,5255,54,Manhattan,bo,West 125th Street,Adam C. Powell Boulevard,Lenox Avenue,1
2012,05,1,p,4993,55,Manhattan,bo,West 14th Street,Hudson Street,Eighth Avenue,1
2012,05,1,p,5254,56,Manhattan,bo,West 181st Street,St. Nicholas Avenue,Wadsworth Avenue,1
2012,05,1,p,18969,57,Manhattan,bo,West 34th Street,Broadway,Seventh Avenue,1
2012,05,1,p,8884,58,Manhattan,bo,West 40th Street,Avenue of the Americas,Fifth Avenue,1
2012,05,1,p,8316,59,Manhattan,bo,West 47th Street,Avenue of the Americas,Fifth Avenue,1
2012,05,1,p,3654,60,Manhattan,bo,Second Avenue,50th Street,51st Street,1
2012,05,1,p,6995,61,Manhattan,bo,Third Avenue,50th Street,51st Street,1
2012,05,1,p,7253,62,Manhattan,bo,Lexington Avenue,50th Street,51st Street,1
2012,05,1,p,6601,63,Manhattan,bo,Park Avenue,50th Street,51st Street,1
2012,05,1,p,6394,64,Manhattan,bo,Madison Avenue,50th Street,51st Street,1
2012,05,1,p,16819,65,Manhattan,bo,Fifth Avenue,50th Street,51st Street,1
2012,05,1,p,11446,66,Manhattan,bo,Sixth Avenue,50th Street,51st Street,1
2012,05,1,p,8700,67,Manhattan,bo,Seventh Avenue,50th Street,51st Street,1
2012,05,1,p,9640,68,Manhattan,bo,Broadway,50th Street,51st Street,1
2012,05,1,p,7429,69,Manhattan,bo,Eighth Avenue,50th Street,51st Street,1
2012,05,1,p,118,70,Manhattan,bo,Hudson River Greenway,50th Street,51st Street,1
2012,05,1,p,2898,71,Queens,bo,165th Street,89th Avenue,Jamaica Avenue,1
2012,05,1,p,3408,72,Queens,bo,37th Avenue,73rd Street,74th Street,1
2012,05,1,p,2972,73,Queens,bo,82nd Street,37th Avenue,Roosevelt Avenue,1
2012,05,1,p,2985,74,Queens,bo,Austin Street,71st Ave,70th Road,1
2012,05,1,p,775,75,Queens,bo,Bell Boulevard,40th Avenue,41st Avenue,1
2012,05,1,p,197,76,Queens,bo,Fresh Pond Road,Cypress Hills Street,70th Avenue,1
2012,05,1,p,1904,77,Queens,bo,Hillside Avenue,169th Street,170th Street,1
2012,05,1,p,463,78,Queens,bo,Jackson Avenue,Queens Street,42nd Road,1
2012,05,1,p,2150,79,Queens,bo,Jamaica Avenue,148th Street,149th Street,1
2012,05,1,p,7315,80,Queens,bo,Jamaica Avenue,162nd Street,Guy R. Brewer Boulevard,1
2012,05,1,p,1157,81,Queens,bo,Jamaica Avenue,86th Street,87th Street,1
2012,05,1,p,5932,82,Queens,bo,Main Street,37th Avenue,38th Avenue,1
2012,05,1,p,132,83,Queens,bo,Merrick Boulevard,108th Drive,169th Place,1
2012,05,1,p,1338,84,Queens,bo,Mott Avenue,Smith Place,Central Avenue,1
2012,05,1,p,3596,85,Queens,bo,Myrtle Avenue,Palmetto Street,Woodbine Street,1
2012,05,1,p,1704,86,Queens,bo,Myrtle Avenue,Weirfield Street,Centre Street,1
2012,05,1,p,522,87,Queens,bo,Northern Boulevard,50' East of 161st Street,,1
2012,05,1,p,760,88,Queens,bo,Prince Street,37th Avenue,38th Avenue,1
2012,05,1,p,2729,89,Queens,bo,Queens Boulevard,50' East of 80th Road,,1
2012,05,1,p,2576,90,Queens,bo,Queens Boulevard,Woodhaven Boulevard,90th Street,1
2012,05,1,p,3350,91,Queens,bo,Queens Plaza North & South,Crescent Street,27th Street,1
2012,05,1,p,8189,92,Queens,bo,Roosevelt Avenue,Main Street,Union Street,1
2012,05,1,p,4213,93,Queens,bo,Steinway Street,31st Avenue,Broadway,1
2012,05,1,p,1310,94,Queens,bo,Sutphin Boulevard,89th Avenue,90th Avenue,1
2012,05,1,p,434,95,Queens,bo,Yellowstone Boulevard,Queens Boulevard,Gerard Place,1
2012,05,1,p,241,96,Staten Island,bo,Forest Avenue,Regan Avenue,Davis Avenue,1
2012,05,1,p,544,97,Staten Island,bo,New Dorp Lane,Hylan Boulevard,Clawson Street,1
2012,05,1,p,1053,98,Staten Island,bo,Pedestrian Walkway from Ferry Terminal,50' north of Richmond Terrace,,1
2012,05,1,p,84,99,Staten Island,bo,Richmond Hill Road,400' west of Richmond Terrace,,1
2012,05,1,p,838,100,Staten Island,bo,Victory Boulevard,Bay Street,Van Duzer Street,1
2012,05,1,p,496,101,East River Bridges,br,Brooklyn Bridge,midpoint,,1
2012,05,1,p,23,102,East River Bridges,br,Manhattan Bridge - North Path,midpoint,,1
2012,05,1,p,144,103,East River Bridges,br,Manhattan Bridge - South Path,midpoint,,1
2012,05,1,p,377,104,East River Bridges,br,Williamsburg Bridge,midpoint,,1
2012,05,1,p,185,105,East River Bridges,br,Queensboro Bridge,midpoint,,1
2012,05,1,p,709,106,Harlem River Bridges,br,Broadway Bridge,midpoint,,1
2012,05,1,p,327,107,Harlem River Bridges,br,University Heights Bridge,midpoint,,1
2012,05,1,p,382,108,Harlem River Bridges,br,Macombs Dam Bridge,midpoint,,1
2012,05,1,p,286,109,Harlem River Bridges,br,145th Street Bridge,midpoint,,1
2012,05,1,p,412,110,Harlem River Bridges,br,Madison Avenue Bridge,midpoint,,1
2012,05,1,p,191,111,Harlem River Bridges,br,Third Avenue Bridge,midpoint,,1
2012,05,1,p,114,112,Harlem River Bridges,br,Willis Avenue Bridge,midpoint,,1
2012,05,1,p,21,113,Harlem River Bridges,br,Triborough Bridge (Manhattan span),midpoint,,1
2012,05,1,p,249,114,Harlem River Bridges,br,Wards Island Bridge,midpoint,,1
2012,05,0,m,3365,1,Bronx,bo,Broadway,West 231st Street,Naples Terrace,1
2012,05,0,m,1912,2,Bronx,bo,East 161st Street,Grand Concourse,Sheridan Avenue,1
2012,05,0,m,7022,3,Bronx,bo,East Fordham Road,Valentine Avenue,Tiebout Avenue,1
2012,05,0,m,1261,4,Bronx,bo,East Gun Hill Road,Bainbridge Avenue,Rochambeau Avenue,1
2012,05,0,m,2371,5,Bronx,bo,East Tremont Avenue,Prospect Avenue,Clinton Avenue,1
2012,05,0,m,1069,6,Bronx,bo,Grand Concourse,East 164th Street,East 165th Street,1
2012,05,0,m,5551,7,Bronx,bo,Third Avenue,East 150th Street,East 151st Street,1
2012,05,0,m,3828,8,Bronx,bo,White Plains Road,Pelham Parkway South,Lydig Avenue,1
2012,05,0,m,4731,9,Brooklyn,bo,5th Avenue,51st Street,52nd Street,1
2012,05,0,m,2620,10,Brooklyn,bo,5th Avenue,Union Street ,President Street,1
2012,05,0,m,3858,11,Brooklyn,bo,7th Avenue ,9th Street,8th Street,1
2012,05,0,m,6416,12,Brooklyn,bo,86th Street,4th Avenue,5th Avenue,1
2012,05,0,m,1374,13,Brooklyn,bo,Atlantic Avenue,Boerum Place,Smith Street,1
2012,05,0,m,5649,14,Brooklyn,bo,Bedford Avenue,North 7th Street,North 6th Street,1
2012,05,0,m,4868,15,Brooklyn,bo,Brighton Beach Avenue,Brighton 4th Street,Brighton 5th Street,1
2012,05,0,m,3157,16,Brooklyn,bo,Church Avenue,Nostrand Avenue,East 31st Street,1
2012,05,0,m,1854,17,Brooklyn,bo,Cortelyou Road,Argyle Road,Rugby Road,1
2012,05,0,m,3274,18,Brooklyn,bo,Court Street,Atlantic Avenue,Pacific Street,1
2012,05,0,m,2024,19,Brooklyn,bo,Eastern Parkway,Plaza Street East,Underhill Avenue,1
2012,05,0,m,1765,20,Brooklyn,bo,Flatbush Avenue,Avenue U,Avenue V,1
2012,05,0,m,1855,21,Brooklyn,bo,Flatbush Avenue,Martense Street,Church Avenue,1
2012,05,0,m,2007,22,Brooklyn,bo,Flatbush Avenue,St. Marks Avenue,Prospect Place,1
2012,05,0,m,3267,23,Brooklyn,bo,Fulton Street,Lawrence Street,Bridge Street,1
2012,05,0,m,607,24,Brooklyn,bo,Graham Avenue,Moore Street,Varet Street,1
2012,05,0,m,1352,25,Brooklyn,bo,Grand Street,Manhattan Avenue,Graham Avenue,1
2012,05,0,m,2432,26,Brooklyn,bo,Jay Street,Willoughby Street,Metrotech Walk,1
2012,05,0,m,1996,27,Brooklyn,bo,Kings Highway,East 13th Street,East 14th Street,1
2012,05,0,m,3453,28,Brooklyn,bo,Montague Street,Henry Street,Clinton Street,1
2012,05,0,m,1764,29,Brooklyn,bo,Myrtle Avenue,Vanderbilt Avenue,Clinton Avenue,1
2012,05,0,m,1773,30,Brooklyn,bo,Old Fulton Street,Elizabeth Place,Everit Place,1
2012,05,0,m,2518,31,Brooklyn,bo,Pitkin Avenue,Bristol Street,Hopkinson Avenue,1
2012,05,0,m,1706,32,Brooklyn,bo,Sheepshead Bay Road,East 14th Street ,East 15th Street,1
2012,05,0,m,183,33,Brooklyn,bo,VanBrunt Street,Beard Street,VanDike Street,1
2012,05,0,m,1002,34,Brooklyn,bo,Washington Street ,Front Street,Water Street,1
2012,05,0,m,1175,35,Manhattan,bo,Broad Street,Beaver Street,South William Street,1
2012,05,0,m,5350,36,Manhattan,bo,Broadway,Morris Street,Exchange Place,1
2012,05,0,m,8376,37,Manhattan,bo,Broadway,West 63rd Street,West 64th Street,1
2012,05,0,m,2939,38,Manhattan,bo,Chambers Street ,West Broadway,Greenwich Street,1
2012,05,0,m,3703,39,Manhattan,bo,Columbus Avenue,West 75th Street,West 76th Street,1
2012,05,0,m,2514,40,Manhattan,bo,Delancey Street,Orchard Street,Ludlow Street,1
2012,05,0,m,8997,41,Manhattan,bo,East 14th Street,Fifth Avenue,University Place,1
2012,05,0,m,6480,42,Manhattan,bo,East 42nd Street,Park Avenue,Lexington Avenue,1
2012,05,0,m,2846,43,Manhattan,bo,East 8th Street,University Place,Greene Street,1
2012,05,0,m,9213,44,Manhattan,bo,Eighth Avenue,West 44th Street,West 45th Street,1
2012,05,0,m,13555,45,Manhattan,bo,Fifth Avenue,East 54th Street,East 55th Street,1
2012,05,0,m,4359,46,Manhattan,bo,Forsyth Street,Canal Street,Division Street,1
2012,05,0,m,3172,47,Manhattan,bo,Fulton Street,Broadway,Nassau Street,1
2012,05,0,m,3775,48,Manhattan,bo,Fulton Street,Cliff Street,Pearl Street,1
2012,05,0,m,4332,49,Manhattan,bo,Lexington Avenue,East 57th Street,East 58th Street,1
2012,05,0,m,2492,50,Manhattan,bo,Madison Avenue,East 71st Street,East 72nd Street,1
2012,05,0,m,12342,51,Manhattan,bo,Seventh Avenue,West 32nd Street,West 33rd Street,1
2012,05,0,m,2734,52,Manhattan,bo,Trinity Place,Rector Street,Thames Street,1
2012,05,0,m,6167,53,Manhattan,bo,Wall Street,New Street,Nassau Street,1
2012,05,0,m,5603,54,Manhattan,bo,West 125th Street,Adam C. Powell Boulevard,Lenox Avenue,1
2012,05,0,m,4335,55,Manhattan,bo,West 14th Street,Hudson Street,Eighth Avenue,1
2012,05,0,m,5567,56,Manhattan,bo,West 181st Street,St. Nicholas Avenue,Wadsworth Avenue,1
2012,05,0,m,13790,57,Manhattan,bo,West 34th Street,Broadway,Seventh Avenue,1
2012,05,0,m,2616,58,Manhattan,bo,West 40th Street,Avenue of the Americas,Fifth Avenue,1
2012,05,0,m,2021,59,Manhattan,bo,West 47th Street,Avenue of the Americas,Fifth Avenue,1
2012,05,0,m,2578,60,Manhattan,bo,Second Avenue,50th Street,51st Street,1
2012,05,0,m,2766,61,Manhattan,bo,Third Avenue,50th Street,51st Street,1
2012,05,0,m,3075,62,Manhattan,bo,Lexington Avenue,50th Street,51st Street,1
2012,05,0,m,1378,63,Manhattan,bo,Park Avenue,50th Street,51st Street,1
2012,05,0,m,2539,64,Manhattan,bo,Madison Avenue,50th Street,51st Street,1
2012,05,0,m,12325,65,Manhattan,bo,Fifth Avenue,50th Street,51st Street,1
2012,05,0,m,4718,66,Manhattan,bo,Sixth Avenue,50th Street,51st Street,1
2012,05,0,m,6298,67,Manhattan,bo,Seventh Avenue,50th Street,51st Street,1
2012,05,0,m,7974,68,Manhattan,bo,Broadway,50th Street,51st Street,1
2012,05,0,m,5619,69,Manhattan,bo,Eighth Avenue,50th Street,51st Street,1
2012,05,0,m,1948,70,Manhattan,bo,Hudson River Greenway,50th Street,51st Street,1
2012,05,0,m,4713,71,Queens,bo,165th Street,89th Avenue,Jamaica Avenue,1
2012,05,0,m,3457,72,Queens,bo,37th Avenue,73rd Street,74th Street,1
2012,05,0,m,5854,73,Queens,bo,82nd Street,37th Avenue,Roosevelt Avenue,1
2012,05,0,m,3954,74,Queens,bo,Austin Street,71st Ave,70th Road,1
2012,05,0,m,1241,75,Queens,bo,Bell Boulevard,40th Avenue,41st Avenue,1
2012,05,0,m,1241,76,Queens,bo,Fresh Pond Road,Cypress Hills Street,70th Avenue,1
2012,05,0,m,2388,77,Queens,bo,Hillside Avenue,169th Street,170th Street,1
2012,05,0,m,222,78,Queens,bo,Jackson Avenue,Queens Street,42nd Road,1
2012,05,0,m,2175,79,Queens,bo,Jamaica Avenue,148th Street,149th Street,1
2012,05,0,m,8328,80,Queens,bo,Jamaica Avenue,162nd Street,Guy R. Brewer Boulevard,1
2012,05,0,m,1320,81,Queens,bo,Jamaica Avenue,86th Street,87th Street,1
2012,05,0,m,4723,82,Queens,bo,Main Street,37th Avenue,38th Avenue,1
2012,05,0,m,119,83,Queens,bo,Merrick Boulevard,108th Drive,169th Place,1
2012,05,0,m,2454,84,Queens,bo,Mott Avenue,Smith Place,Central Avenue,1
2012,05,0,m,3082,85,Queens,bo,Myrtle Avenue,Palmetto Street,Woodbine Street,1
2012,05,0,m,2747,86,Queens,bo,Myrtle Avenue,Weirfield Street,Centre Street,1
2012,05,0,m,116,87,Queens,bo,Northern Boulevard,50' East of 161st Street,,1
2012,05,0,m,1208,88,Queens,bo,Prince Street,37th Avenue,38th Avenue,1
2012,05,0,m,1071,89,Queens,bo,Queens Boulevard,50' East of 80th Road,,1
2012,05,0,m,2171,90,Queens,bo,Queens Boulevard,Woodhaven Boulevard,90th Street,1
2012,05,0,m,1658,91,Queens,bo,Queens Plaza North & South,Crescent Street,27th Street,1
2012,05,0,m,7573,92,Queens,bo,Roosevelt Avenue,Main Street,Union Street,1
2012,05,0,m,4488,93,Queens,bo,Steinway Street,31st Avenue,Broadway,1
2012,05,0,m,1162,94,Queens,bo,Sutphin Boulevard,89th Avenue,90th Avenue,1
2012,05,0,m,843,95,Queens,bo,Yellowstone Boulevard,Queens Boulevard,Gerard Place,1
2012,05,0,m,235,96,Staten Island,bo,Forest Avenue,Regan Avenue,Davis Avenue,1
2012,05,0,m,439,97,Staten Island,bo,New Dorp Lane,Hylan Boulevard,Clawson Street,1
2012,05,0,m,741,98,Staten Island,bo,Pedestrian Walkway from Ferry Terminal,50' north of Richmond Terrace,,1
2012,05,0,m,90,99,Staten Island,bo,Richmond Hill Road,400' west of Richmond Terrace,,1
2012,05,0,m,678,100,Staten Island,bo,Victory Boulevard,Bay Street,Van Duzer Street,1
2012,05,0,m,1458,101,East River Bridges,br,Brooklyn Bridge,midpoint,,1
2012,05,0,m,109,102,East River Bridges,br,Manhattan Bridge - North Path,midpoint,,1
2012,05,0,m,245,103,East River Bridges,br,Manhattan Bridge - South Path,midpoint,,1
2012,05,0,m,305,104,East River Bridges,br,Williamsburg Bridge,midpoint,,1
2012,05,0,m,111,105,East River Bridges,br,Queensboro Bridge,midpoint,,1
2012,05,0,m,795,106,Harlem River Bridges,br,Broadway Bridge,midpoint,,1
2012,05,0,m,369,107,Harlem River Bridges,br,University Heights Bridge,midpoint,,1
2012,05,0,m,320,108,Harlem River Bridges,br,Macombs Dam Bridge,midpoint,,1
2012,05,0,m,351,109,Harlem River Bridges,br,145th Street Bridge,midpoint,,1
2012,05,0,m,263,110,Harlem River Bridges,br,Madison Avenue Bridge,midpoint,,1
2012,05,0,m,137,111,Harlem River Bridges,br,Third Avenue Bridge,midpoint,,1
2012,05,0,m,71,112,Harlem River Bridges,br,Willis Avenue Bridge,midpoint,,1
2012,05,0,m,49,113,Harlem River Bridges,br,Triborough Bridge (Manhattan span),midpoint,,1
2012,05,0,m,439,114,Harlem River Bridges,br,Wards Island Bridge,midpoint,,1
2012,09,1,a,1268,1,Bronx,bo,Broadway,West 231st Street,Naples Terrace,1
2012,09,1,a,2113,2,Bronx,bo,East 161st Street,Grand Concourse,Sheridan Avenue,1
2012,09,1,a,2704,3,Bronx,bo,East Fordham Road,Valentine Avenue,Tiebout Avenue,1
2012,09,1,a,2371,4,Bronx,bo,East Gun Hill Road,Bainbridge Avenue,Rochambeau Avenue,1
2012,09,1,a,959,5,Bronx,bo,East Tremont Avenue,Prospect Avenue,Clinton Avenue,1
2012,09,1,a,936,6,Bronx,bo,Grand Concourse,East 164th Street,East 165th Street,1
2012,09,1,a,1604,7,Bronx,bo,Third Avenue,East 150th Street,East 151st Street,1
2012,09,1,a,1591,8,Bronx,bo,White Plains Road,Pelham Parkway South,Lydig Avenue,1
2012,09,1,a,1419,9,Brooklyn,bo,5th Avenue,51st Street,52nd Street,1
2012,09,1,a,723,10,Brooklyn,bo,5th Avenue,Union Street ,President Street,1
2012,09,1,a,3050,11,Brooklyn,bo,7th Avenue ,9th Street,8th Street,1
2012,09,1,a,1533,12,Brooklyn,bo,86th Street,4th Avenue,5th Avenue,1
2012,09,1,a,499,13,Brooklyn,bo,Atlantic Avenue,Boerum Place,Smith Street,1
2012,09,1,a,1984,14,Brooklyn,bo,Bedford Avenue,North 7th Street,North 6th Street,1
2012,09,1,a,1447,15,Brooklyn,bo,Brighton Beach Avenue,Brighton 4th Street,Brighton 5th Street,1
2012,09,1,a,1966,16,Brooklyn,bo,Church Avenue,Nostrand Avenue,East 31st Street,1
2012,09,1,a,2295,17,Brooklyn,bo,Cortelyou Road,Argyle Road,Rugby Road,1
2012,09,1,a,1932,18,Brooklyn,bo,Court Street,Atlantic Avenue,Pacific Street,1
2012,09,1,a,1228,19,Brooklyn,bo,Eastern Parkway,Plaza Street East,Underhill Avenue,1
2012,09,1,a,347,20,Brooklyn,bo,Flatbush Avenue,Avenue U,Avenue V,1
2012,09,1,a,1011,21,Brooklyn,bo,Flatbush Avenue,Martense Street,Church Avenue,1
2012,09,1,a,645,22,Brooklyn,bo,Flatbush Avenue,St. Marks Avenue,Prospect Place,1
2012,09,1,a,1791,23,Brooklyn,bo,Fulton Street,Lawrence Street,Bridge Street,1
2012,09,1,a,995,24,Brooklyn,bo,Graham Avenue,Moore Street,Varet Street,1
2012,09,1,a,411,25,Brooklyn,bo,Grand Street,Manhattan Avenue,Graham Avenue,1
2012,09,1,a,4210,26,Brooklyn,bo,Jay Street,Willoughby Street,Metrotech Walk,1
2012,09,1,a,1744,27,Brooklyn,bo,Kings Highway,East 13th Street,East 14th Street,1
2012,09,1,a,1482,28,Brooklyn,bo,Montague Street,Henry Street,Clinton Street,1
2012,09,1,a,1040,29,Brooklyn,bo,Myrtle Avenue,Vanderbilt Avenue,Clinton Avenue,1
2012,09,1,a,173,30,Brooklyn,bo,Old Fulton Street,Elizabeth Place,Everit Place,1
2012,09,1,a,840,31,Brooklyn,bo,Pitkin Avenue,Bristol Street,Hopkinson Avenue,1
2012,09,1,a,1729,32,Brooklyn,bo,Sheepshead Bay Road,East 14th Street ,East 15th Street,1
2012,09,1,a,112,33,Brooklyn,bo,VanBrunt Street,Beard Street,VanDike Street,1
2012,09,1,a,257,34,Brooklyn,bo,Washington Street ,Front Street,Water Street,1
2012,09,1,a,4302,35,Manhattan,bo,Broad Street,Beaver Street,South William Street,1
2012,09,1,a,5021,36,Manhattan,bo,Broadway,Morris Street,Exchange Place,1
2012,09,1,a,1881,37,Manhattan,bo,Broadway,West 63rd Street,West 64th Street,1
2012,09,1,a,8185,38,Manhattan,bo,Chambers Street ,West Broadway,Greenwich Street,1
2012,09,1,a,1601,39,Manhattan,bo,Columbus Avenue,West 75th Street,West 76th Street,1
2012,09,1,a,1616,40,Manhattan,bo,Delancey Street,Orchard Street,Ludlow Street,1
2012,09,1,a,2730,41,Manhattan,bo,East 14th Street,Fifth Avenue,University Place,1
2012,09,1,a,7362,42,Manhattan,bo,East 42nd Street,Park Avenue,Lexington Avenue,1
2012,09,1,a,1084,43,Manhattan,bo,East 8th Street,University Place,Greene Street,1
2012,09,1,a,6265,44,Manhattan,bo,Eighth Avenue,West 44th Street,West 45th Street,1
2012,09,1,a,3472,45,Manhattan,bo,Fifth Avenue,East 54th Street,East 55th Street,1
2012,09,1,a,1537,46,Manhattan,bo,Forsyth Street,Canal Street,Division Street,1
2012,09,1,a,4635,47,Manhattan,bo,Fulton Street,Broadway,Nassau Street,1
2012,09,1,a,2760,48,Manhattan,bo,Fulton Street,Cliff Street,Pearl Street,1
2012,09,1,a,4587,49,Manhattan,bo,Lexington Avenue,East 57th Street,East 58th Street,1
2012,09,1,a,966,50,Manhattan,bo,Madison Avenue,East 71st Street,East 72nd Street,1
2012,09,1,a,13647,51,Manhattan,bo,Seventh Avenue,West 32nd Street,West 33rd Street,1
2012,09,1,a,2821,52,Manhattan,bo,Trinity Place,Rector Street,Thames Street,1
2012,09,1,a,6733,53,Manhattan,bo,Wall Street,New Street,Nassau Street,1
2012,09,1,a,2126,54,Manhattan,bo,West 125th Street,Adam C. Powell Boulevard,Lenox Avenue,1
2012,09,1,a,2024,55,Manhattan,bo,West 14th Street,Hudson Street,Eighth Avenue,1
2012,09,1,a,1245,56,Manhattan,bo,West 181st Street,St. Nicholas Avenue,Wadsworth Avenue,1
2012,09,1,a,13348,57,Manhattan,bo,West 34th Street,Broadway,Seventh Avenue,1
2012,09,1,a,7269,58,Manhattan,bo,West 40th Street,Avenue of the Americas,Fifth Avenue,1
2012,09,1,a,3450,59,Manhattan,bo,West 47th Street,Avenue of the Americas,Fifth Avenue,1
2012,09,1,a,2527,60,Manhattan,bo,Second Avenue,50th Street,51st Street,1
2012,09,1,a,5778,61,Manhattan,bo,Third Avenue,50th Street,51st Street,1
2012,09,1,a,6127,62,Manhattan,bo,Lexington Avenue,50th Street,51st Street,1
2012,09,1,a,6951,63,Manhattan,bo,Park Avenue,50th Street,51st Street,1
2012,09,1,a,3810,64,Manhattan,bo,Madison Avenue,50th Street,51st Street,1
2012,09,1,a,4642,65,Manhattan,bo,Fifth Avenue,50th Street,51st Street,1
2012,09,1,a,6755,66,Manhattan,bo,Sixth Avenue,50th Street,51st Street,1
2012,09,1,a,5521,67,Manhattan,bo,Seventh Avenue,50th Street,51st Street,1
2012,09,1,a,5221,68,Manhattan,bo,Broadway,50th Street,51st Street,1
2012,09,1,a,3834,69,Manhattan,bo,Eighth Avenue,50th Street,51st Street,1
2012,09,1,a,363,70,Manhattan,bo,Hudson River Greenway,50th Street,51st Street,1
2012,09,1,a,828,71,Queens,bo,165th Street,89th Avenue,Jamaica Avenue,1
2012,09,1,a,918,72,Queens,bo,37th Avenue,73rd Street,74th Street,1
2012,09,1,a,2642,73,Queens,bo,82nd Street,37th Avenue,Roosevelt Avenue,1
2012,09,1,a,834,74,Queens,bo,Austin Street,71st Ave,70th Road,1
2012,09,1,a,576,75,Queens,bo,Bell Boulevard,40th Avenue,41st Avenue,1
2012,09,1,a,482,76,Queens,bo,Fresh Pond Road,Cypress Hills Street,70th Avenue,1
2012,09,1,a,1063,77,Queens,bo,Hillside Avenue,169th Street,170th Street,1
2012,09,1,a,631,78,Queens,bo,Jackson Avenue,Queens Street,42nd Road,1
2012,09,1,a,723,79,Queens,bo,Jamaica Avenue,148th Street,149th Street,1
2012,09,1,a,1414,80,Queens,bo,Jamaica Avenue,162nd Street,Guy R. Brewer Boulevard,1
2012,09,1,a,912,81,Queens,bo,Jamaica Avenue,86th Street,87th Street,1
2012,09,1,a,2581,82,Queens,bo,Main Street,37th Avenue,38th Avenue,1
2012,09,1,a,83,83,Queens,bo,Merrick Boulevard,108th Drive,169th Place,1
2012,09,1,a,850,84,Queens,bo,Mott Avenue,Smith Place,Central Avenue,1
2012,09,1,a,1378,85,Queens,bo,Myrtle Avenue,Palmetto Street,Woodbine Street,1
2012,09,1,a,438,86,Queens,bo,Myrtle Avenue,Weirfield Street,Centre Street,1
2012,09,1,a,236,87,Queens,bo,Northern Boulevard,50' East of 161st Street,,1
2012,09,1,a,312,88,Queens,bo,Prince Street,37th Avenue,38th Avenue,1
2012,09,1,a,1574,89,Queens,bo,Queens Boulevard,50' East of 80th Road,,1
2012,09,1,a,539,90,Queens,bo,Queens Boulevard,Woodhaven Boulevard,90th Street,1
2012,09,1,a,3868,91,Queens,bo,Queens Plaza North & South,Crescent Street,27th Street,1
2012,09,1,a,4331,92,Queens,bo,Roosevelt Avenue,Main Street,Union Street,1
2012,09,1,a,1212,93,Queens,bo,Steinway Street,31st Avenue,Broadway,1
2012,09,1,a,1514,94,Queens,bo,Sutphin Boulevard,89th Avenue,90th Avenue,1
2012,09,1,a,462,95,Queens,bo,Yellowstone Boulevard,Queens Boulevard,Gerard Place,1
2012,09,1,a,172,96,Staten Island,bo,Forest Avenue,Regan Avenue,Davis Avenue,1
2012,09,1,a,611,97,Staten Island,bo,New Dorp Lane,Hylan Boulevard,Clawson Street,1
2012,09,1,a,1206,98,Staten Island,bo,Pedestrian Walkway from Ferry Terminal,50' north of Richmond Terrace,,1
2012,09,1,a,93,99,Staten Island,bo,Richmond Hill Road,400' west of Richmond Terrace,,1
